"Wed, 25 May 2022 08:47:43 GMT",15552000,745045,"no-store, no-cache, must-revalidate, max-age=0",,0.028901
"Wed, 25 May 2022 08:48:58 GMT",15552000,745120,"no-store, no-cache, must-revalidate, max-age=0",,0.028437
"Wed, 25 May 2022 08:54:14 GMT",15552000,745436,"no-store, no-cache, must-revalidate, max-age=0",,0.024943
"Wed, 25 May 2022 08:57:47 GMT",15552000,745649,"no-store, no-cache, must-revalidate, max-age=0",,0.026435
"Wed, 25 May 2022 09:01:07 GMT",15552000,745849,"no-store, no-cache, must-revalidate, max-age=0",,0.026905
"Wed, 25 May 2022 09:03:20 GMT",15552000,745982,"no-store, no-cache, must-revalidate, max-age=0",,0.020971
"Wed, 25 May 2022 09:05:44 GMT",15552000,746126,"no-store, no-cache, must-revalidate, max-age=0",,0.119068
"Wed, 25 May 2022 09:07:59 GMT",15552000,746262,"no-store, no-cache, must-revalidate, max-age=0",,0.018123
"Wed, 25 May 2022 09:17:43 GMT",15552000,746845,"no-store, no-cache, must-revalidate, max-age=0",,0.0239
"Wed, 25 May 2022 09:28:00 GMT",15552000,747462,"no-store, no-cache, must-revalidate, max-age=0",,0.020686
"Tue, 14 Jun 2022 11:48:47 GMT",15552000,26564,"no-store, no-cache, must-revalidate, max-age=0",,0.040506
"Tue, 14 Jun 2022 11:51:51 GMT",15552000,26748,"no-store, no-cache, must-revalidate, max-age=0",,0.024316
"Tue, 14 Jun 2022 12:24:34 GMT",15552000,28711,"no-store, no-cache, must-revalidate, max-age=0",,0.024125
